cpu,mb,gpu,ram,psu,total_price,benchmark_cpu,passmark_gpu,cpu_scaled,gpu_scaled,final_score,level
AMD Ryzen 7 1700X,MAINBOARD (AM4) GIGABYTE A520M H ARGB DDR4 (rev. 1.0),GeForce RTX 3060 12GB,RAM DDR4(3200) 32GB (16GBX2) BLACKBERRY ASGARD (B16G32DASX2) x2,POWER SUPPLY (FULL) 650W VIKINGS VK,31269.088799999998,15623,16752,0.2209040031979898,0.4140784013110941,0.31749120225454197,Basic
Intel Core i5-8500B @ 3.00GHz,MAINBOARD (1151V2) LONGWELL H310-D4N V3 DDR4,GeForce GTX 980 Ti,RAM DDR4(3200) 16GB HYNIX 8 CHIP x2,POWER SUPPLY (80+ GOLD) 850W COOLER MASTER MWE V3 (MPE-8506-ACAG-BTH),25620.04,8870,13665,0.12449317571812002,0.33247865507123786,0.22848591539467894,Basic
AMD Ryzen 5 3600,MAINBOARD (AM4) GIGABYTE B450M DS3H V3 DDR4 (REV. 1.5),Radeon Pro SSG,RAM DDR4(3200) 16GB (8GBX2) APACER NOX RGB BLACK (AH4U16G32C28YNBAA-2) x2,POWER SUPPLY (CYBENETICS PLATINUM) 1000W CORSAIR RM1000E (CP-9020297-NA),107262.3776,17678,10971,0.250242704585689,0.26126721471808834,0.25575495965188866,Basic
AMD Ryzen 9 9900X,MAINBOARD (AM5) ASUS B650M-AYW WIFI DDR5,GeForce GTX 1650 SUPER,RAM DDR5(5600) 16GB (8GBX2) KINGSTON FURY BEAST (KF556C40BBK2-16) x2,POWER SUPPLY (80+ BRONZE) 600W ITSONAS AURORA ARGB,40516.4888,54443,10186,0.7751270629889784,0.24051703629298724,0.5078220496409828,Standard
AMD Ryzen 5 7600X3D,MAINBOARD (AM5) ASUS ROG CROSSHAIR X870E APEX,GeForce RTX 5060 Ti 8GB,RAM DDR5(5600) 16GB (8GBX2) KINGSTON FURY BEAST (KF556C40BBK2-16) x2,POWER SUPPLY (80+ BRONZE) 750W ASUS TUF GAMING 750B,72624.3904,25811,22493,0.3663554337273714,0.5658322539716106,0.46609384384949104,Standard
AMD Athlon 3200+,MAINBOARD (AM4) GIGABYTE B450M DS3H V3 DDR4 (REV. 1.5),TITAN RTX,RAM DDR4(3200) 16GB ADATA D35G XPG BLACK (AX4U320016G16A-SBKD35) x2,POWER SUPPLY (FULL) 650W NUBWO NPS-650 WHITE,55947.1,298,20006,0.0021129575695277257,0.5000925167190928,0.25110273714431025,Basic
AMD Athlon 5350 APU,MAINBOARD (AM4) GIGABYTE A520M H ARGB DDR4 (rev. 1.0),GeForce GTX 1070 Ti,RAM DDR4(3200) 16GB (8GBX2) ADATA D35 XPG BLACK (AX4U32008G16A-DTBKD35) x2,POWER SUPPLY (80+ BRONZE) 650W ASUS PRIME,22790.4696,1797,14656,0.023513791331163266,0.3586741032486585,0.1910939472899109,Basic
AMD Ryzen 3 1200,MAINBOARD (AM4) GIGABYTE A520M-K V2 DDR4 (REV. 1.1),GeForce RTX 2080,RAM DDR4(3200) 16GB CORSAIR VENGEANCE LPX BLACK (CMK16GX4M1E3200C16) x2,POWER SUPPLY (80+ GOLD) 850W MSI MAG A850GL PCIE5,27596.4,6259,18621,0.08721660670435727,0.4634823293066533,0.2753494680055053,Basic
Intel Core i3-14100T,MAINBOARD (1700) ASROCK H610M-HVS/M.2 R2.0 DDR4,Quadro M6000,RAM DDR4(3200) 16GB BLACKBERRY PRO SERIES WHITE x2,POWER SUPPLY (CYBENETICS PLATINUM) 1050W MONTECH CENTURY II,202470.484,13677,11734,0.19312146650676715,0.28143585948032035,0.23727866299354375,Basic
Intel Core i7-9700E @ 2.60GHz,MAINBOARD (1151V2) GIGABYTE H310M M.2 2.0 DDR4 (REV. 1.3),Radeon Pro WX 4100,RAM DDR4(3200) 16GB ACER UD100 BLACK (ZC.A01ST.0GC) x2,POWER SUPPLY (80+ BRONZE) 750W ASUS TUF GAMING 750B,44816.76,12561,3683,0.17718862429330134,0.06862097221855092,0.12290479825592612,Basic
AMD Ryzen 3 5300G,MAINBOARD (AM4) GIGABYTE A520M S2H DDR4 (REV. 1.3),Radeon RX 480,RAM DDR4(3200) 32GB ADATA 16 CHIP (AD4U320032G22-SGN) x2,POWER SUPPLY (80+ PLATINUM) 1500W CORSAIR HX1500i (CP-9020261-NA),48344.8888,13036,8538,0.18397007595225856,0.19695487827443103,0.1904624771133448,Basic
AMD Ryzen 5 2600,MAINBOARD (AM4) ASROCK B550M-ITX/AC DDR4,Radeon Pro W5700,RAM DDR4(3200) 16GB (8GBX2) APACER NOX RGB WHITE (ZC.A01ST.0D7) x2,POWER SUPPLY (80+ GOLD) 850W NZXT BLACK (PA-8G2BB-US),49241.6888,13138,14182,0.18542630346639255,0.34614469614866117,0.26578549980752686,Basic
Intel Core i3-13100F,MAINBOARD (1700) ASROCK B760M PG LIGHTNING DDR5,GeForce GTX 1660 Ti,RAM DDR5(4800) 16GB APACER (FL.16G2A.PTH) x2,POWER SUPPLY (80+ GOLD) 1000W ASUS ROG STRIX AURA GAMING 1000G,34034.0888,14662,12681,0.20718405573639426,0.3064682403320029,0.25682614803419856,Basic
Intel Core i9-14901E,MAINBOARD (1700) ASUS PRIME B760M-A-WIFI-CSM DDR5,RTX A5000,RAM DDR5(5600) 16GB (8GBX2) KINGSTON FURY BEAST (KF556C40BBK2-16) x2,POWER SUPPLY (80+ GOLD) 850W MSI MAG A850GL PCIE5,126673.84,30298,23015,0.4304151676089315,0.579630461790595,0.5050228146997633,Standard
Intel Core i3-10100 @ 3.60GHz,MAINBOARD (1200) LONGWELL H410-VH DDR4,Radeon RX 580,RAM DDR4(3200) 8GB HIKSEMI ARMOR PURPLE (HSC408U32Z2) x1,POWER SUPPLY (CYBENETICS PLATINUM) 750W CORSAIR RM750E (CP-9020295-NA),15273.2088,8511,8791,0.11936782593798184,0.20364251539742542,0.16150517066770365,Basic
Intel Core i5-7500T @ 2.70GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),GeForce RTX 2060,RAM DDR4(3200) 16GB BLACKBERRY PRO SERIES WHITE x2,POWER SUPPLY (80+ PLATINUM) 850W GIGABYTE AORUS P850W (GP-AE850 PM PG5 ICE),29768.9816,5232,14103,0.07255439438067501,0.34405646163199494,0.20830542800633498,Basic
Intel Core i9-9900K @ 3.60GHz,MAINBOARD (1151V2) LONGWELL H310-D4N V3 DDR4,Quadro P600,RAM DDR4(3200) 32GB (16GBx2) BLACKBERRY 3200 PRO SERIES BLACK x2,POWER SUPPLY 550W OKER EB-550W,34576.5192,18081,3326,0.2559962309405517,0.059184266871084565,0.15759024890581813,Basic
Intel Core i5-13400T,MAINBOARD (1700) GIGABYTE B760M GAMING X DDR5 (REV. 1.0),GeForce RTX 4070 Ti,RAM DDR5(5600) 16GB (8GBX2) KINGSTON FURY BEAST (KF556C40BBK2-16) x2,POWER SUPPLY (80+ WHITE) 600W MONTECH AP600,60417.520000000004,20224,31568,0.28659128547769974,0.8057148899051043,0.546153087691402,Standard
Intel Core i9-10900T @ 1.90GHz,MAINBOARD (1200) LONGWELL H410-VH DDR4,Radeon R9 370,RAM DDR4(3200) 16GB (8GBX2) APACER NOX RGB BLACK (AH4U16G32C28YNBAA-2) x2,POWER SUPPLY (80+ BRONZE) 750W EINARE AXIS MASTER L1 Black (EXPS-AMH1-750-BK),30786.6888,14735,4722,0.20822625778082346,0.09608522111495862,0.15215573944789104,Basic
Intel Core i9-14900KS,MAINBOARD (1700) ASUS PRIME B760M-A WIFI DDR5,Radeon RX 460,RAM DDR5(4800) 16GB ADATA (AD5U480016G-B) x2,POWER SUPPLY (80+ GOLD) 850W GIGABYTE UD850GM PG5 ICE,55576.0728,60309,4101,0.8588744217920165,0.07967011181306335,0.4692722668025399,Standard
Intel Core i5-11500 @ 2.70GHz,MAINBOARD (1200) LONGWELL H510-PRO DDR4,GeForce RTX 5090,RAM DDR4(3200) 16GB (8GBX2) KINGSTON FURY BEAST (KF432C16BBK2/16WP) x2,POWER SUPPLY 600W TSUNAMI EX600,150022.88,17069,38918,0.24154816972188908,1.0,0.6207740848609445,Standard
Intel Core i7-11700KF @ 3.60GHz,MAINBOARD (1200) LONGWELL H410-VH DDR4,Quadro P620,RAM DDR4(3200) 32GB (16GBX2) APACER PANTHER GOLDEN (AH4U32G32C28Y7GAA-2) x2,POWER SUPPLY (80+ PLATINUM) 850W GIGABYTE AORUS P850W (GP-AE850 PM PG5 ICE),50704.88,23824,3703,0.3379875506824282,0.06914963918479554,0.20356859493361187,Basic
Intel Core i5-14600,MAINBOARD (1700) ASROCK B760M-HDV/M.2 DDR5,Radeon R9 370,RAM DDR5(5600) 16GB (8GBX2) KINGSTON FURY BEAST (KF556C40BBK2-16) x2,POWER SUPPLY (80+ SILVER) 650W GIGABYTE P-650SS ICE (GP-650SS ICE),37180.6,32428,4722,0.4608246245217292,0.09608522111495862,0.2784549228183439,Basic
Intel Xeon E E-2414,MAINBOARD (1700) COLORFUL H610M-D V20 DDR5,Radeon Pro WX 4150,RAM DDR5(5200) 64GB (32GBX2) KINGSTON FURY BEAST (KF552C40BBK2-64) x2,POWER SUPPLY (80+ SILVER) 500W ITSONAS DARK FOREST 1U FLEX (DF-FX500) SFX,80739.2136,11946,2579,0.16840842898749356,0.03943855568184822,0.10392349233467088,Basic
Intel Core i5-6350HQ @ 2.30GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),GeForce GTX 1660 SUPER,RAM DDR4(3200) 32GB (16GBX2) APACER PANTHER GOLDEN (AH4U32G32C28Y7GAA-2) x2,POWER SUPPLY (80+ GOLD) 850W ANTEC GSK V2,37247.72,4255,12684,0.058606019073725084,0.30654754037693954,0.18257677972533232,Basic
Intel Core i3-6100 @ 3.70GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Quadro RTX 6000,RAM DDR4(3200) 16GB HYNIX 8 CHIP x2,POWER SUPPLY (80+ GOLD) 850W COOLER MASTER MWE V3 (MPE-8506-ACAG-BTH),238208.628,4099,17826,0.05637884758152018,0.44246781739842983,0.249423332489975,Basic
Intel Core i9-11900KF @ 3.50GHz,MAINBOARD (1200) LONGWELL H510-PRO DDR4,GeForce RTX 3080 Ti,RAM DDR4(3200) 32GB (16GBX2) KINGSTON FURY BEAST (KF432C16BB1K2/32WP) x2,POWER SUPPLY (80+ GOLD) 1200W ASUS TUF GAMING 1200G,62471.68,24544,26795,0.3482668037233739,0.6795485184108271,0.5139076610671005,Standard
Intel Core i5-7640X @ 4.00GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Radeon RX 5700,RAM DDR4(2133) 8GB BLACKBERRY MAXIMUS x1,POWER SUPPLY (80+ WHITE) 650W THERMALTAKE TR2 S (PS-TRS-0650NNSAWE-H),11856.4032,7096,14256,0.09916623836445662,0.3481007639237662,0.2236335011441114,Basic
Intel Core i5-12500E,MAINBOARD (1700) MSI PRO H610M-E DDR5,Radeon R7 450,RAM DDR5(6400) 32GB (16GBX2) CORSAIR VENGEANCE RGB BLACK (CMH32GX5M2B6400C36) x2,POWER SUPPLY (80+ GOLD) 850W NZXT WHITE (PA-8G2BW-US),66372.0,20585,1881,0.29174518873850724,0.020988078559911184,0.15636663364920922,Basic
Intel Core i3-9100TE @ 2.20GHz,MAINBOARD (1151V2) LONGWELL H310-H3M DDR4 (REV. 2.0),Tesla M60,RAM DDR4(3200) 16GB BLACKBERRY 8 CHIP x2,POWER SUPPLY (80+ GOLD) 850W SEGOTEP GM850W WHITE,23446.64,4589,7002,0.0633744503454971,0.15635325526684465,0.10986385280617088,Basic
Intel Core i3-7320 @ 4.10GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Radeon RX Vega 64,RAM DDR4(2666) 16GB HIKSEMI (HSC416U26Z1) x2,POWER SUPPLY (80+ GOLD) 850W GIGABYTE UD850GM PG5 ICE,35603.152,4767,13910,0.06591571012506425,0.3389548254077344,0.20243526776639933,Basic
Intel Core i5-7640X @ 4.00GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),GeForce RTX 3070,RAM DDR4(3200) 16GB (8GBX2) ADATA D35G XPG RGB BLACK (AX4U32008G16A-DTBKD35G) x2,POWER SUPPLY (80+ GOLD) 1000W SEGOTEP GM1000W WHITE,34156.4032,7096,22138,0.09916623836445662,0.5564484153207687,0.32780732684261266,Basic
Intel Core i5-9600KF @ 3.70GHz,MAINBOARD (1151V2) LONGWELL H310-H3M DDR4 (REV. 2.0),Radeon RX 470/570,RAM DDR4(3200) 16GB ADATA D35G XPG BLACK (AX4U320016G16A-SBKD35) x2,POWER SUPPLY (CYBENETICS PLATINUM) 1050W MONTECH CENTURY II,35125.976,10644,7925,0.14982011307178345,0.18075123575903362,0.16528567441540853,Basic
Intel Xeon E3-1225 v6 @ 3.30GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Radeon R9 380X,RAM DDR4(2666) 16GB BLACKBERRY x2,POWER SUPPLY (80+ GOLD) 1000W ASUS ROG STRIX AURA GAMING 1000G,33702.0,5780,6130,0.08037804808406143,0.1333033755385795,0.10684071181132046,Basic
AMD Ryzen 5 1600X,MAINBOARD (AM4) ASROCK B450M PRO4 DDR4 R2.0,Radeon RX 9060 XT 16GB,RAM DDR4(3200) 16GB (8GBX2) APACER NOX RGB WHITE (ZC.A01ST.0D7) x2,POWER SUPPLY (80+ WHITE) 650W THERMALTAKE TR2 S,32849.4488,13009,20069,0.1835846039632231,0.5017578176627634,0.34267121081299323,Basic
AMD Athlon X3 435,MAINBOARD (AM4) ASROCK B550M HDV DDR4,Quadro M4000,RAM DDR4(3200) 32GB (16GBX2) HIKSEMI ARMOR BLACK (HSC432U32D3)Recommend x2,POWER SUPPLY (80+ BRONZE) 750W THERMALTAKE SMART BX1,33061.648799999995,1781,6672,0.023285363485808917,0.14763025032380853,0.08545780690480873,Basic
Intel Core i7-11700 @ 2.50GHz,MAINBOARD (1200) LONGWELL H410-VH DDR4,Quadro P400,RAM DDR4(3200) 16GB (8GBX2) KINGBANK KJXS (KBK-KJXS16G32) x2,POWER SUPPLY (80+ BRONZE) 750W ITSONAS DARK FOREST SFX,35663.191999999995,20642,1661,0.2925589629375821,0.015172741931220427,0.15386585243440126,Basic
AMD Ryzen 3 1300X,MAINBOARD (AM4) LONGWELL A320M-VH DDR4,Radeon RX 6600 XT,RAM DDR4(3200) 16GB BLACKBERRY PRO SERIES WHITE x2,POWER SUPPLY (80+ WHITE) 600W COOLER MASTER ELITE NEX MWE 230V (MPW-6001-ACBW),21742.531199999998,6930,16451,0.09679629946890525,0.4061219634691126,0.25145913146900895,Basic
Intel Core i5-9500E @ 3.00GHz,MAINBOARD (1151V2) LONGWELL H310-D4N V3 DDR4,GeForce RTX 4090,RAM DDR4(3600) 16GB (8GBX2) KINGSTON FURY BEAST (KF436C17BBK2/16) x2,POWER SUPPLY (80+ BRONZE) 850W ITSONAS FROZEN,92065.04,9104,38093,0.12783393295642737,0.9781924876424097,0.5530132102994185,Standard
Intel Core i9-9900 @ 3.10GHz,MAINBOARD (1151V2) GIGABYTE H310M M.2 2.0 DDR4 (REV. 1.3),Radeon Pro WX 4150,RAM DDR4(2666) 16GB HIKSEMI (HSC416U26Z1) x2,POWER SUPPLY (80+ GOLD) 850W NZXT BLACK (PA-8G2BB-US),56360.08,16234,2579,0.229627091542459,0.03943855568184822,0.1345328236121536,Basic
AMD Athlon X3 440,MAINBOARD (AM4) ASROCK B450M HDV DDR4 R4.0,Radeon RX 6400,RAM DDR4(3200) 32GB (16GBX2) HIKSEMI ARMOR BLACK (HSC432U32D3)Recommend x2,POWER SUPPLY (80+GOLD) 1000W THERMALTAKE TOUGHPOWER GT SNOW (PS-TPT-1000FNFAGE-W),40688.2488,1438,7750,0.018388441551025068,0.17612539980439323,0.09725692067770915,Basic
AMD Athlon 4,MAINBOARD (AM4) ASROCK A520M-HVS DDR4,Quadro M6000,RAM DDR4(3200) 16GB LEXAR (LD4AU016G-B3200GSST) x2,POWER SUPPLY (CYBENETICS PLATINUM) 1000W CORSAIR RM1000E WHITE (CP-9020294-NA),194844.2888,182,11734,0.0004568556907086972,0.28143585948032035,0.14094635758551452,Basic
Intel Core i3-7350K @ 4.20GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Tesla M60,RAM DDR4(3200) 16GB KINGSTON FURY BEAST RGB (KF432C16BB12A/16WP) x2,POWER SUPPLY 550W DTECH PW032,23449.28,4874,7002,0.06744332134087144,0.15635325526684465,0.11189828830385805,Basic
AMD Ryzen 9 7900X,MAINBOARD (AM5) ASROCK B850M PRO-A DDR5,Radeon RX 6400,RAM DDR5(5600) 32GB (16GBX2) CORSAIR VENGEANCE WHITE (CMK32GX5M2B5600C40W) x2,POWER SUPPLY (80+ SILVER) 650W GIGABYTE P-650SS ICE (GP-650SS ICE),58993.92,51292,7750,0.7301410541945063,0.17612539980439323,0.45313322699944975,Standard
Intel Core i3-12100T,MAINBOARD (1700) ASROCK B760M PRO RS DDR5,GeForce RTX 3080,RAM DDR5(5200) 32GB (16GBX2) BLACKBERRY 5200 PRO SERIES BLACK x2,POWER SUPPLY (80+ GOLD) 850W CORSAIR SERIES RM850E WHITE (CP-9020293-NA),50426.64,12443,25040,0.175503968933813,0.6331579921228622,0.4043309805283376,Basic
Intel Core i5-6442EQ @ 1.90GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),GeForce RTX 4090,RAM DDR4(3200) 16GB (8GBX2) KINGBANK KJXS (KBK-KJXS16G32) x2,POWER SUPPLY (80+ GOLD) 1000W MSI MAG A1000GL PCIE5,99810.0,4483,38093,0.061861115870024554,0.9781924876424097,0.5200268017562172,Standard
Intel Core i3-12300,MAINBOARD (1700) GIGABYTE B760M E DDR5 (REV. 1.0),Radeon R9 Fury + Fury X,RAM DDR5(5200) 16GB KINGSTON FURY BEAST RGB WHITE (KF552C40BWA-16) x2,POWER SUPPLY (80+ GOLD) 850W NZXT WHITE (PA-8G2BW-US),43625.16,14342,9741,0.20261549882930727,0.22875419629404456,0.2156848475616759,Basic
Intel Xeon E3-1240 v6 @ 3.70GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Quadro P600,RAM DDR4(3200) 16GB HYNIX 16 CHIP x2,POWER SUPPLY (80+ BRONZE) 850W ITSONAS FROZEN,32893.488,8729,3326,0.12248015533093484,0.059184266871084565,0.0908322111010097,Basic
Intel Xeon E3-1240L v5 @ 2.10GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),GeForce GTX 1060 5GB,RAM DDR4(3200) 16GB BLACKBERRY MAXIMUS GRAY x2,POWER SUPPLY (80+ PLATINUM) 1500W NZXT BLACK (PA-5P1BB-US),34426.36,6547,9205,0.09132830792073554,0.21458592159868892,0.15295711475971224,Basic
Intel Core i5-9600T @ 2.30GHz,MAINBOARD (1151V2) LONGWELL H310-D4N V3 DDR4,Radeon R9 380X,RAM DDR4(3200) 16GB ADATA D35G XPG WHITE (AX4U320016G16A-SWHD35) x2,POWER SUPPLY (80+ WHITE) 650W MONTECH AP650,29808.56,9590,6130,0.13477242875906573,0.1333033755385795,0.1340379021488226,Basic
Intel Core i3-10305 @ 3.80GHz,MAINBOARD (1200) LONGWELL H410-VH DDR4,Radeon RX 6800,RAM DDR4(3200) 16GB (8GBX2) KINGSTON FURY BEAST RGB (KF432C16BB2AK2/16WP) x2,POWER SUPPLY (80+ BRONZE) 500W ITSONAS AURORA ARGB,36172.392,9210,22032,0.12934726743189995,0.5536464803996722,0.3414968739157861,Basic
Intel Core i3-6100 @ 3.70GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Radeon RX 5600 XT,RAM DDR4(2666) 8GB BLACKBERRY MAXIMUS x1,POWER SUPPLY 450W DTECH PW030,12238.628,4099,13418,0.05637884758152018,0.3259496180381169,0.19116423280981854,Basic
Intel Core i3-8300 @ 3.70GHz,MAINBOARD (1151V2) LONGWELL H310-D4N V3 DDR4,GeForce RTX 5080,RAM DDR4(3200) 16GB KINGBANK KJXS SILVER x2,POWER SUPPLY (80+ GOLD) 850W COOLER MASTER MWE V3 (MPE-8506-ACAG-BTH),66002.0152,6368,35722,0.08877277140083376,0.9155190187941107,0.5021458950974722,Standard
AMD Ryzen 3 4300G,MAINBOARD (AM4) ASROCK B450M HDV DDR4 R4.0,Tesla M40,RAM DDR4(3200) 16GB HIKSEMI FUTURE WHITE RGB (HSC416U32F4) x2,POWER SUPPLY 750W OKER EB-750,37793.9496,9984,10219,0.14039746445091655,0.24138933678729088,0.1908934006191037,Basic
AMD Ryzen 5 9600X,MAINBOARD (AM5) ASROCK B850M-X R2.0 DDR5,GeForce GTX 1050,RAM DDR5(5200) 64GB (32GBX2) KINGSTON FURY BEAST (KF552C40BBK2-64) x2,POWER SUPPLY (FULL) 750W ANTEC ATOM V750,59341.08,30043,5045,0.4267745988235966,0.10462319261980914,0.26569889572170285,Basic
Intel Core i9-12900K,MAINBOARD (1700) GIGABYTE H610M K DDR4 (REV. 2.0),Radeon RX 6800 XT,RAM DDR4(3200) 16GB (8GBX2) APACER NOX RGB BLACK (AH4U16G32C28YNBAA-2) x2,POWER SUPPLY (80+ GOLD) 850W DTECH PW072A,41706.64,41153,25018,0.5853891839415225,0.6325764584599931,0.6089828212007578,Standard
AMD Athlon XP 1900+,MAINBOARD (AM4) LONGWELL B450M-VDH DDR4,Radeon Pro W5700,RAM DDR4(3200) 16GB (8GBX2) ADATA D35G XPG RGB BLACK (AX4U32008G16A-DTBKD35G) x2,POWER SUPPLY (CYBENETICS PLATINUM) 1000W CORSAIR RM1000E (CP-9020297-NA),40515.296,203,14182,0.0007566672377362802,0.34614469614866117,0.17345068169319872,Basic
Intel Core i9-9820X @ 3.30GHz,MAINBOARD (1151V2) LONGWELL H310-H3M DDR4 (REV. 2.0),RTX PRO 4500 Blackwell,RAM DDR4(3200) 16GB HIKSEMI ARMOR PURPLE (HSC416U32Z2) x2,POWER SUPPLY (80+GOLD) 850W ASUS PRIME 850G,114333.2472,20520,32430,0.2908172006167552,0.8285004361502472,0.5596588183835012,Standard
Intel Core i9-10940X @ 3.30GHz,MAINBOARD (1200) LONGWELL H510-PRO DDR4,GeForce RTX 5060 Ti 16GB,RAM DDR4(3200) 32GB ADATA 16 CHIP (AD4U320032G22-SGN) x2,POWER SUPPLY (80+ PLATINUM) 850W GIGABYTE AORUS P850W (GP-AE850 PM PG5 ICE),72599.68,27651,22700,0.39262463594312147,0.5713039570722424,0.4819642965076819,Standard
Intel Core i5-11600 @ 2.80GHz,MAINBOARD (1200) LONGWELL H510-PRO DDR4,Radeon RX 470/570,RAM DDR4(3200) 16GB HIKSEMI ARMOR WHITE (HSC416U32E2) x2,POWER SUPPLY (80+ GOLD) 850W ANTEC GSK V2,35251.8,17948,7925,0.2540974244760436,0.18075123575903362,0.21742433011753862,Basic
AMD Athlon MP,MAINBOARD (AM4) ASROCK B450M PRO4 DDR4 R2.0,GeForce RTX 4070 Ti,RAM DDR4(3200) 32GB (16GBx2) BLACKBERRY 3200 PRO SERIES BLACK x2,POWER SUPPLY (CYBENETICS PLATINUM) 1050W MONTECH CENTURY II,48138.6888,150,31568,0.0,0.8057148899051043,0.40285744495255216,Basic
AMD Ryzen 7 PRO 4750G,MAINBOARD (AM4) GIGABYTE B550M DS3H R2 DDR4 (REV. 1.0),Radeon RX 7600,RAM DDR4(2666) 16GB HYNIX 16 CHIP x2,POWER SUPPLY (80+ WHITE) 750W MONTECH AP750,34018.548,20197,16544,0.28620581348866425,0.4085802648621501,0.3473930391754072,Basic
Intel Core i9-10900KF @ 3.70GHz,MAINBOARD (1200) LONGWELL H410-VH DDR4,GeForce GTX 1630,RAM DDR4(3200) 16GB (8GBX2) KINGSTON FURY BEAST RGB (KF432C16BB2AK2/16) x2,POWER SUPPLY (80+ WHITE) 550W SILVERSTONE (SST-ST550-EF),32718.8648,22213,4983,0.3149877220033122,0.10298432502445086,0.20898602351388154,Basic
Intel Core i3-8100 @ 3.60GHz,MAINBOARD (1151V2) LONGWELL H310-D4N V3 DDR4,Intel Arc A580,RAM DDR4(2666) 8GB APACER 8 CHIP (EL.08G2V.GNH) x1,POWER SUPPLY (80+ PLATINUM) 1500W CORSAIR HX1500i (CP-9020261-NA),28590.5488,6064,12064,0.08443264233910114,0.2901588644233565,0.1872957533812288,Basic
AMD Ryzen 3 2300X,MAINBOARD (AM4) GIGABYTE A520M S2H DDR4 (REV. 1.3),Intel Arc B580,RAM DDR4(3200) 16GB LEXAR (LD4AU016G-B3200GSST) x2,POWER SUPPLY (80+ GOLD) 750W SEGOTEP GM750W WHITE,29197.160799999998,7566,15825,0.10587630632174061,0.3895746874256562,0.2477254968736984,Basic
Intel Core i7-12700E,MAINBOARD (1700) ASUS PRIME B760M-A DDR5,GeForce RTX 4080,RAM DDR5(5200) 16GB (8GBX2) CORSAIR VENGEANCE BLACK (CMK16GX5M2B5200Z40) x2,POWER SUPPLY (CYBENETICS PLATINUM) 750W CORSAIR RM750E (CP-9020295-NA),81040.7552,28437,34436,0.40384615384615385,0.881525732864582,0.642685943355368,Standard
Intel Xeon E-2468,MAINBOARD (1700) MSI B760 GAMING PLUS WIFI DDR5,Quadro P6000,RAM DDR5(4800) 16GB ADATA (AD5U480016G-B) x2,POWER SUPPLY (FULL) 600W DTECH PW008,152997.12,26652,15555,0.3783621723488093,0.3824376833813539,0.3803999278650816,Basic
Intel Xeon E3-1535M v5 @ 2.90GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Radeon Pro WX 4150,RAM DDR4(3200) 16GB HIKSEMI ARMOR WHITE (HSC416U32E2) x2,POWER SUPPLY (80+ WHITE) 750W MONTECH AP750,52567.759999999995,7493,2579,0.10483410427731141,0.03943855568184822,0.0721363299795798,Basic
Intel Core i9-14900KF,MAINBOARD (1700) LONGWELL H610M-4 DDR4,Radeon Pro W5500,RAM DDR4(3200) 16GB ADATA D35G XPG WHITE (AX4U320016G16A-SWHD35) x2,POWER SUPPLY (80+ BRONZE) 650W ASUS TUF GAMING,46341.6088,58328,8940,0.8305921991890811,0.2075810842959478,0.5190866417425144,Standard
Intel Core i5-10500 @ 3.10GHz,MAINBOARD (1200) LONGWELL H510-PRO DDR4,Radeon R9 380,RAM DDR4(3200) 8GB HIKSEMI ARMOR BLACK (HSC408U32D2)Recommend x1,POWER SUPPLY (80+ GOLD) 750W SEGOTEP GM750W WHITE,16689.7656,13001,5977,0.18347039004054594,0.1292590732468082,0.15636473164367706,Basic
AMD Ryzen 3 2300X,MAINBOARD (AM4) ASUS PRIME A520M-K/CSM (DDR4),Radeon Pro WX 7100,RAM DDR4(3200) 16GB ADATA D35G XPG WHITE (AX4U320016G16A-SWHD35) x2,POWER SUPPLY (80+ GOLD) 850W SILVERSTONE DA850W (SST-DA850R-GMA),58342.1608,7566,7715,0.10587630632174061,0.17520023261346515,0.1405382694676029,Basic
AMD Ryzen 5 8500G,MAINBOARD (AM5) ASROCK B650M-H/M.2+ DDR5,Radeon RX 6800,RAM DDR5(5600) 96GB (48GBX2) G.SKILL TRIDENT Z5 RGB BLACK (F5-5600J4040D48GX2-TZ x2,POWER SUPPLY (80+ GOLD) 850W THERMALTAKE TOUGHPOWER GT,177863.0,21471,22032,0.3043943806750043,0.5536464803996722,0.4290204305373383,Basic
